record_no,snapshot_index,source_vector_index,field,source_value,source_valid,protocol_code,flag_bit,decoded_value,decoded_valid,absolute_error/tolerance,passed
23,1,23,lat,47.4443,True,3202684,0,47.44431911571482,True,1.91157148208e-05/4.29153544701e-05,True
23,1,23,lon,8.5674,True,2196969,1,8.567406789638227,True,6.78963822764e-06/8.58307089402e-05,True
23,1,23,altitude,,False,0,2,,False,0/0,True
23,1,23,speed,0.26,True,3,3,0.30000000000000004,True,0.04/0.1,True
23,1,23,heading,244.69,True,24469,4,244.69,True,0/0.01,True
23,1,23,vertical_rate,,False,0,5,,False,0/0,True
23,1,23,callsign,SWR7DC,True,SWR7DC,6,SWR7DC,True,0/0,True
24,2,1,lat,48.3811,True,3224513,0,48.381118388442616,True,1.83884426121e-05/4.29153544701e-05,True
24,2,1,lon,9.4818,True,2207622,1,9.481761331978134,True,3.86680218654e-05/8.58307089402e-05,True
24,2,1,altitude,11887.2,True,12887,2,11887.0,True,0.200000000001/1,True
24,2,1,speed,241.82,True,2418,3,241.8,True,0.02/0.1,True
24,2,1,heading,152.78,True,15278,4,152.78,True,0/0.01,True
24,2,1,vertical_rate,0.0,True,32768,5,0.0,True,0/0.01,True
24,2,1,callsign,UPS266,True,UPS266,6,UPS266,True,0/0,True
25,2,2,lat,45.5396,True,3158301,0,45.539606938268406,True,6.93826840603e-06/4.29153544701e-05,True
25,2,2,lon,5.0616,True,2156123,1,5.061565652266893,True,3.43477331075e-05/8.58307089402e-05,True
25,2,2,altitude,10972.8,True,11973,2,10973.0,True,0.200000000001/1,True
25,2,2,speed,255.67,True,2557,3,255.70000000000002,True,0.03/0.1,True
25,2,2,heading,110.0,True,11000,4,110.0,True,0/0.01,True
25,2,2,vertical_rate,0.0,True,32768,5,0.0,True,0/0.01,True
25,2,2,callsign,UAE4M,True,UAE4M,6,UAE4M,True,0/0,True
26,2,3,lat,47.5871,True,3206011,0,47.58709850003683,True,1.49996316878e-06/4.29153544701e-05,True
26,2,3,lon,7.5312,True,2184896,1,7.5311726406032165,True,2.73593967837e-05/8.58307089402e-05,True
26,2,3,altitude,,False,0,2,,False,0/0,True
26,2,3,speed,18.52,True,185,3,18.5,True,0.02/0.1,True
26,2,3,heading,334.69,True,33469,4,334.69,True,0/0.01,True
26,2,3,vertical_rate,,False,0,5,,False,0/0,True
26,2,3,callsign,M02,True,M02,6,M02,True,0/0,True
27,2,4,lat,48.9207,True,3237086,0,48.92069314019517,True,6.85980482729e-06/4.29153544701e-05,True
27,2,4,lon,9.0286,True,2202342,1,9.028575188773914,True,2.4811226087e-05/8.58307089402e-05,True
27,2,4,altitude,11582.4,True,12582,2,11582.0,True,0.4/1,True
27,2,4,speed,228.42,True,2284,3,228.4,True,0.02/0.1,True
27,2,4,heading,300.9,True,30090,4,300.90000000000003,True,5.68434188608e-14/0.01,True
27,2,4,vertical_rate,0.0,True,32768,5,0.0,True,0/0.01,True
27,2,4,callsign,TOM8VC,True,TOM8VC,6,TOM8VC,True,0/0,True
28,2,5,lat,48.6854,True,3231603,0,48.6853882516356,True,1.17483644004e-05/4.29153544701e-05,True
28,2,5,lon,9.2005,True,2204345,1,9.200494098781121,True,5.90121887889e-06/8.58307089402e-05,True
28,2,5,altitude,,False,0,2,,False,0/0,True
28,2,5,speed,1.29,True,13,3,1.3,True,0.01/0.1,True
28,2,5,heading,70.31,True,7031,4,70.31,True,0/0.01,True
28,2,5,vertical_rate,,False,0,5,,False,0/0,True
28,2,5,callsign,F172,True,F172,6,F172,True,0/0,True
29,2,6,lat,49.3929,True,3248089,0,49.39289078542964,True,9.21457035474e-06/4.29153544701e-05,True
29,2,6,lon,11.6172,True,2232502,1,11.617229370410314,True,2.93704103136e-05/8.58307089402e-05,True
29,2,6,altitude,12184.38,True,13184,2,12184.0,True,0.379999999999/1,True
29,2,6,speed,244.2,True,2442,3,244.20000000000002,True,2.84217094304e-14/0.1,True
29,2,6,heading,293.59,True,29359,4,293.59000000000003,True,5.68434188608e-14/0.01,True
29,2,6,vertical_rate,0.0,True,32768,5,0.0,True,0/0.01,True
29,2,6,callsign,QFA219,True,QFA219,6,QFA219,True,0/0,True
30,2,7,lat,48.5472,True,3228383,0,48.54720081024189,True,8.10241893134e-07/4.29153544701e-05,True
30,2,7,lon,6.2991,True,2170541,1,6.299072813766685,True,2.71862333152e-05/8.58307089402e-05,True
30,2,7,altitude,11887.2,True,12887,2,11887.0,True,0.200000000001/1,True
30,2,7,speed,233.64,True,2336,3,233.60000000000002,True,0.04/0.1,True
30,2,7,heading,181.51,True,18151,4,181.51,True,0/0.01,True
30,2,7,vertical_rate,0.0,True,32768,5,0.0,True,0/0.01,True
30,2,7,callsign,SRR6382,True,SRR6382,6,SRR6382,True,0/0,True
31,2,8,lat,45.7476,True,3163148,0,45.747617661384965,True,1.76613849661e-05/4.29153544701e-05,True
31,2,8,lon,8.7767,True,2199407,1,8.776662058034418,True,3.79419655818e-05/8.58307089402e-05,True
31,2,8,altitude,3398.52,True,4399,2,3399.0,True,0.48/1,True
31,2,8,speed,176.54,True,1765,3,176.5,True,0.04/0.1,True
31,2,8,heading,148.95,True,14895,4,148.95000000000002,True,2.84217094304e-14/0.01,True
31,2,8,vertical_rate,-6.5,True,32118,5,-6.5,True,0/0.01,True
31,2,8,callsign,BCS6GA,True,BCS6GA,6,BCS6GA,True,0/0,True
32,2,9,lat,47.4577,True,3202996,0,47.45770870630949,True,8.70630948668e-06/4.29153544701e-05,True
32,2,9,lon,8.5625,True,2196912,1,8.562514439228636,True,1.44392286359e-05/8.58307089402e-05,True
32,2,9,altitude,,False,0,2,,False,0/0,True
32,2,9,speed,2.83,True,28,3,2.8000000000000003,True,0.03/0.1,True
32,2,9,heading,272.81,True,27281,4,272.81,True,0/0.01,True
32,2,9,vertical_rate,,False,0,5,,False,0/0,True
32,2,9,callsign,VIKTOR21,True,VIKTOR21,6,VIKTOR21,True,0/0,True
33,2,10,lat,47.4581,True,3203005,0,47.45809494449972,True,5.05550028151e-06/4.29153544701e-05,True
33,2,10,lon,8.5499,True,2196765,1,8.549897325014427,True,2.67498557172e-06/8.58307089402e-05,True
33,2,10,altitude,,False,0,2,,False,0/0,True
33,2,10,speed,4.12,True,41,3,4.1000000000000005,True,0.02/0.1,True
33,2,10,heading,275.62,True,27562,4,275.62,True,0/0.01,True
33,2,10,vertical_rate,,False,0,5,,False,0/0,True
33,2,10,callsign,GALA6,True,GALA6,6,GALA6,True,0/0,True
34,2,11,lat,47.441,True,3202607,0,47.44101463342062,True,1.46334206192e-05/4.29153544701e-05,True
34,2,11,lon,8.5624,True,2196911,1,8.562428608519696,True,2.86085196954e-05/8.58307089402e-05,True
34,2,11,altitude,,False,0,2,,False,0/0,True
34,2,11,speed,2.83,True,28,3,2.8000000000000003,True,0.03/0.1,True
34,2,11,heading,154.69,True,15469,4,154.69,True,0/0.01,True
34,2,11,vertical_rate,,False,0,5,,False,0/0,True
34,2,11,callsign,VIKTOR31,True,VIKTOR31,6,VIKTOR31,True,0/0,True
35,2,12,lat,47.458,True,3203003,0,47.45800911379078,True,9.11379078161e-06/4.29153544701e-05,True
35,2,12,lon,8.5502,True,2196769,1,8.550240647850188,True,4.0647850188e-05/8.58307089402e-05,True
35,2,12,altitude,,False,0,2,,False,0/0,True
35,2,12,speed,4.37,True,44,3,4.4,True,0.03/0.1,True
35,2,12,heading,275.62,True,27562,4,275.62,True,0/0.01,True
35,2,12,vertical_rate,,False,0,5,,False,0/0,True
35,2,12,callsign,GALA21,True,GALA21,6,GALA21,True,0/0,True
36,2,13,lat,47.4568,True,3202975,0,47.45680748386562,True,7.48386561611e-06/4.29153544701e-05,True
36,2,13,lon,8.5628,True,2196915,1,8.562771931355456,True,2.80686445429e-05/8.58307089402e-05,True
36,2,13,altitude,,False,0,2,,False,0/0,True
36,2,13,speed,0.06,True,1,3,0.1,True,0.04/0.1,True
36,2,13,heading,208.12,True,20812,4,208.12,True,0/0.01,True
36,2,13,vertical_rate,,False,0,5,,False,0/0,True
36,2,13,callsign,URSULA8,True,URSULA8,6,URSULA8,True,0/0,True
37,2,14,lat,49.4601,True,3249655,0,49.46009623052984,True,3.76947015468e-06/4.29153544701e-05,True
37,2,14,lon,5.0066,True,2155483,1,5.006633998545169,True,3.39985451694e-05/8.58307089402e-05,True
37,2,14,altitude,10873.74,True,11874,2,10874.0,True,0.26/1,True
37,2,14,speed,232.46,True,2325,3,232.5,True,0.04/0.1,True
37,2,14,heading,35.91,True,3591,4,35.910000000000004,True,7.1054273576e-15/0.01,True
37,2,14,vertical_rate,5.53,True,33321,5,5.529999999999973,True,2.75335310107e-14/0.01,True
37,2,14,callsign,TAY5DN,True,TAY5DN,6,TAY5DN,True,0/0,True
38,2,15,lat,47.9002,True,3213307,0,47.900208926250684,True,8.92625068616e-06/4.29153544701e-05,True
38,2,15,lon,8.0776,True,2191262,1,8.077570933716487,True,2.90662835134e-05/8.58307089402e-05,True
38,2,15,altitude,10972.8,True,11973,2,10973.0,True,0.200000000001/1,True
38,2,15,speed,229.54,True,2295,3,229.5,True,0.04/0.1,True
38,2,15,heading,225.45,True,22545,4,225.45000000000002,True,2.84217094304e-14/0.01,True
38,2,15,vertical_rate,0.0,True,32768,5,0.0,True,0/0.01,True
38,2,15,callsign,ENT1511,True,ENT1511,6,ENT1511,True,0/0,True
39,2,16,lat,46.8917,True,3189807,0,46.891698096203356,True,1.90379664389e-06/4.29153544701e-05,True
39,2,16,lon,11.2404,True,2228112,1,11.240432558162809,True,3.25581628093e-05/8.58307089402e-05,True
39,2,16,altitude,9845.04,True,10845,2,9845.0,True,0.0400000000009/1,True
